ID;Clube_ID;Tipo;Origem_Destino;Valor;Empréstimo;Ano
294;27;Entrada;Bragantino;0.00;Não;2015
295;27;Saída;Boa Esporte;0.00;Não;2015
296;29;Saída;Paraná;0.00;Não;2015
297;33;Saída;Flamengo;0.00;Sim;2015
298;18;Saída;São Paulo;0.00;Não;2015
299;32;Entrada;Fluminense;0.00;Não;2015
300;11;Entrada;Criciúma EC;0.00;Não;2015
301;13;Saída;Coritiba FC;0.00;Não;2015
302;26;Saída;Santa Cruz-PE;0.00;Sim;2015
303;24;Saída;FC Sochaux;0.00;Sim;2015
304;13;Saída;São Paulo;0.00;Sim;2015
305;32;Entrada;Criciúma EC;0.00;Sim;2015
306;32;Saída;Albirex Niigata;0.00;Sim;2015
307;4;Entrada;Joinville-SC;0.00;Sim;2015
308;4;Entrada;Botafogo-SP;0.00;Sim;2015
309;4;Saída;Monte Azul;0.00;Sim;2015
310;4;Saída;Botafogo-SP;0.00;Sim;2015
311;24;Saída;Atlético-PR;0.00;Sim;2015
312;7;Entrada;Colorado;0.00;Sim;2015
313;7;Saída;Colorado;0.00;Sim;2015
314;26;Saída;Al-Ahli;0.00;Sim;2015
315;26;Saída;Ventforet Kofu;0.00;Sim;2015
316;29;Entrada;Vasco da Gama;0.00;Sim;2015
317;29;Saída;Vasco da Gama;0.00;Sim;2015
318;34;Entrada;Portuguesa;0.00;Não;2015
319;34;Entrada;Bragantino;0.00;Sim;2015
320;34;Saída;Bragantino;0.00;Sim;2015
321;16;Entrada;Danubio FC;0.00;Sim;2015
322;16;Saída;Danubio FC;0.00;Sim;2015
323;4;Entrada;Náutico;0.00;Sim;2015
324;4;Saída;Joinville-SC;0.00;Sim;2015
325;4;Saída;Náutico;0.00;Sim;2015
326;24;Entrada;Atlético-PR;0.00;Sim;2015
327;28;Entrada;ABC FC;0.00;Sim;2015
328;28;Entrada;Villa Nova;0.00;Sim;2015
329;28;Saída;Villa Nova;0.00;Sim;2015
330;28;Saída;Without Club;0.00;Não;2015
331;22;Entrada;Inter U20;0.00;Não;2015
332;21;Entrada;Cruzeiro-RS;0.00;Não;2015
333;20;Entrada;Uberlândia;0.00;Não;2015
334;26;Saída;Santa Cruz-PE;0.00;Sim;2015
335;5;Entrada;Mirassol-SP;0.00;Sim;2015
336;5;Saída;Mirassol-SP;0.00;Sim;2015
337;25;Entrada;Avaí FC;0.00;Sim;2015
338;25;Saída;Avaí FC;0.00;Sim;2015
339;19;Entrada;Quixadá-CE;0.00;Não;2015
340;5;Entrada;Maldonado;0.00;Sim;2015
341;4;Entrada;Goiás;0.00;Sim;2015
342;4;Saída;Santa Cruz-PE;0.00;Não;2015
343;20;Saída;Atlético-PR;0.00;Sim;2015
344;4;Entrada;Atlético-PR U20;0.00;Não;2015
345;25;Entrada;Icasa;0.00;Não;2015
346;25;Saída;Fort Lauderdale;0.00;Sim;2015
347;26;Entrada;Oeste;0.00;Sim;2015
348;26;Entrada;Penapolense;0.00;Sim;2015
349;26;Saída;Oeste;0.00;Sim;2015
350;26;Saída;Penapolense;0.00;Sim;2015
351;6;Entrada;Bahia U20;0.00;Não;2015
352;31;Saída;Torino;12400000.00;Não;2015
353;29;Saída;São Caetano;0.00;Não;2015
354;9;Entrada;Ponte Preta;0.00;Sim;2015
355;9;Saída;Ponte Preta;0.00;Sim;2015
356;28;Entrada;Chapecoense;0.00;Sim;2015
357;28;Saída;Chapecoense;0.00;Sim;2015
358;7;Entrada;Madureira;0.00;Sim;2015
359;7;Saída;Boavista;0.00;Não;2015
360;31;Saída;Napoli;0.00;Sim;2015
361;18;Saída;Duque de Caxias;0.00;Não;2015
362;18;Saída;Paysandu;0.00;Sim;2015
363;14;Entrada;Cruzeiro U20;0.00;Não;2015
364;1;Entrada;Ponte Preta;0.00;Sim;2015
365;28;Saída;América-MG;0.00;Sim;2015
366;18;Entrada;Fluminense U20;0.00;Não;2015
367;13;Entrada;EC Vitória;0.00;Não;2015
368;35;Saída;Criciúma EC;0.00;Não;2015
369;25;Entrada;Oeste;0.00;Não;2015
370;25;Saída;América-RN;0.00;Não;2015
371;30;Saída;VfL Alfter;0.00;Não;2015
372;9;Saída;Grêmio;0.00;Sim;2015
373;21;Entrada;Chapecoense;0.00;Sim;2015
374;21;Saída;Busan IPark;0.00;Sim;2015
375;30;Entrada;B. Gladbach 09;0.00;Não;2015
376;29;Entrada;Umm Salal SC;0.00;Não;2015
377;29;Saída;Retired;0.00;Não;2015
378;5;Saída;Leixões;0.00;Não;2015
379;20;Saída;Bragantino;0.00;Não;2015
380;29;Entrada;Goiás;0.00;Não;2015
381;29;Saída;Without Club;0.00;Não;2015
382;22;Entrada;EC Vitória;0.00;Sim;2015
383;22;Saída;Al-Wasl;0.00;Sim;2015
384;35;Saída;Internacional;0.00;Sim;2015
385;5;Entrada;Vila Nova FC;0.00;Não;2015
386;14;Entrada;Palmeiras U20;0.00;Não;2015
387;26;Entrada;Portuguesa;0.00;Sim;2015
388;26;Entrada;Guarani;0.00;Sim;2015
389;26;Saída;Guarani;0.00;Sim;2015
390;17;Entrada;Flamengo U20;0.00;Não;2015
391;17;Entrada;ASA;0.00;Sim;2015
392;17;Saída;ASA;0.00;Sim;2015
393;17;Saída;Cagliari Calcio;16430000.00;Não;2015
394;2;Entrada;Ulsan Hyundai;0.00;Não;2015
395;31;Entrada;Santos U20;0.00;Não;2015
396;13;Entrada;São Caetano;0.00;Não;2015
397;13;Saída;Resende;0.00;Não;2015
398;11;Entrada;Inter de Lages;0.00;Sim;2015
399;11;Saída;Inter de Lages;0.00;Sim;2015
400;7;Entrada;Guaratinguetá;0.00;Não;2015
401;17;Saída;Guaratinguetá;0.00;Não;2015
402;27;Saída;Guarani;0.00;Não;2015
403;28;Saída;Ferroviário;0.00;Não;2015
404;29;Saída;Hellas Verona;0.00;Sim;2015
405;27;Saída;Without Club;0.00;Não;2015
406;2;Saída;São Paulo;0.00;Sim;2015
407;9;Entrada;São Paulo;0.00;Sim;2015
408;32;Entrada;Atlético-GO;0.00;Sim;2015
409;32;Saída;Chapecoense;0.00;Sim;2015
410;15;Entrada;São Bento (SP);0.00;Não;2015
411;15;Saída;Operário-MS;0.00;Não;2015
412;15;Saída;Caldense;0.00;Não;2015
413;18;Saída;São Paulo;0.00;Não;2015
414;27;Saída;Rio Claro;0.00;Sim;2015
415;32;Entrada;Fluminense;0.00;Não;2015
416;4;Entrada;Santa Cruz-PE;0.00;Sim;2015
417;4;Saída;Paysandu;0.00;Sim;2015
418;7;Saída;Without Club;0.00;Não;2015
419;16;Entrada;Without Club;0.00;Não;2015
420;3;Entrada;Vasco da Gama;0.00;Sim;2015
421;34;Saída;Atlético-MG;0.00;Sim;2015
422;20;Entrada;Goiás EC U20;0.00;Não;2015
423;16;Entrada;Figueirense U20;0.00;Não;2015
424;22;Entrada;Colon;11346000.00;Não;2015
425;1;Saída;Tupi;0.00;Sim;2015
426;19;Entrada;Millonarios;0.00;Não;2015
427;8;Entrada;Luverdense;0.00;Não;2015
428;23;Saída;Ypiranga-RS;0.00;Não;2015
429;19;Entrada;Internacional;0.00;Sim;2015
430;22;Entrada;Santa Cruz-PE;0.00;Sim;2015
431;22;Saída;Fortaleza;0.00;Sim;2015
432;14;Entrada;ASA;434000.00;Não;2015
433;3;Entrada;Bragantino;0.00;Sim;2015
434;3;Saída;Bragantino;0.00;Sim;2015
435;28;Entrada;Bragantino;0.00;Sim;2015
436;29;Entrada;Atlético-MG;0.00;Sim;2015
437;29;Saída;Atlético-MG;0.00;Sim;2015
438;29;Saída;Ponte Preta;0.00;Sim;2015
439;8;Entrada;Paysandu;0.00;Não;2015
440;34;Entrada;Vasco U20;0.00;Não;2015
441;22;Entrada;Udinese Calcio;49600000.00;Não;2015
442;22;Saída;Udinese Calcio;0.00;Sim;2015
443;11;Saída;Gaziantepspor;0.00;Sim;2015
444;24;Saída;Palmeiras;0.00;Sim;2015
445;26;Entrada;Joinville-SC;0.00;Sim;2015
446;26;Entrada;São Bento (SP);0.00;Sim;2015
447;26;Saída;São Bento (SP);0.00;Sim;2015
448;29;Entrada;XV Piracicaba;0.00;Não;2015
449;6;Entrada;Flamengo;0.00;Não;2015
450;17;Saída;EC Bahia;0.00;Não;2015
451;1;Saída;Without Club;0.00;Não;2015
452;18;Saída;Coimbra;0.00;Sim;2015
453;27;Entrada;Cabofriense;0.00;Não;2015
454;27;Saída;Cabofriense;0.00;Não;2015
455;31;Entrada;Coimbra;0.00;Sim;2015
456;30;Entrada;Bonner SC U19;0.00;Não;2015
457;4;Entrada;Colo-Colo;0.00;Não;2015
458;34;Entrada;Bangu-RJ;0.00;Sim;2015
459;16;Saída;Maldonado;0.00;Sim;2015
460;3;Saída;Coimbra;0.00;Sim;2015
461;5;Entrada;Coimbra;0.00;Sim;2015
462;20;Entrada;Oeste;0.00;Sim;2015
463;20;Entrada;Aparecidense;0.00;Sim;2015
464;20;Saída;Oeste;0.00;Sim;2015
465;20;Saída;Aparecidense;0.00;Sim;2015
466;24;Saída;Tarxien;0.00;Não;2015
467;15;Entrada;Cachoeiro-ES;0.00;Não;2015
468;27;Entrada;São Caetano;0.00;Não;2015
469;26;Entrada;Metalist Kharkiv;0.00;Não;2015
470;32;Saída;Colon;0.00;Não;2015
471;12;Saída;Hamburger SV;18600000.00;Não;2015
472;5;Saída;Criciúma EC;0.00;Não;2015
473;9;Entrada;Criciúma EC;0.00;Não;2015
474;13;Entrada;Avaí FC;0.00;Não;2015
475;13;Saída;Chapecoense;0.00;Não;2015
476;15;Saída;Concórdia;0.00;Não;2015
477;5;Entrada;Tombense;0.00;Sim;2015
478;4;Entrada;Náutico;0.00;Sim;2015
479;4;Saída;Penapolense;0.00;Não;2015
480;12;Entrada;Without Club;0.00;Não;2015
481;24;Saída;Maringá;0.00;Não;2015
482;21;Saída;Olimpia;0.00;Não;2015
483;21;Entrada;Atlético Madrid;0.00;Sim;2015
484;21;Saída;Atlético Madrid;0.00;Sim;2015
485;1;Entrada;Caldense;0.00;Não;2015
486;13;Entrada;Vitória-PE;0.00;Sim;2015
487;13;Saída;Oeste;0.00;Sim;2015
488;31;Entrada;Paulista-SP;0.00;Sim;2015
489;31;Saída;Paulista-SP;0.00;Sim;2015
490;4;Entrada;Atlético-PR U20;0.00;Não;2015
491;5;Entrada;Comercial-SP;0.00;Não;2015
492;5;Saída;Without Club;0.00;Não;2015
493;1;Saída;Novo Hamburgo;0.00;Não;2015
494;28;Saída;Benfica;18600000.00;Não;2015
495;18;Saída;Al-Gharafa;0.00;Sim;2015
496;14;Saída;Vasco da Gama;0.00;Sim;2015
497;34;Entrada;Cruzeiro;0.00;Sim;2015
498;34;Saída;EC Vitória;0.00;Não;2015
499;35;Entrada;Vasco da Gama;0.00;Não;2015
500;22;Entrada;Universitario;0.00;Sim;2015
501;7;Saída;São Paulo;0.00;Não;2015
502;32;Entrada;Botafogo;0.00;Não;2015
503;4;Entrada;Botafogo-SP;0.00;Sim;2015
504;28;Saída;Botafogo-SP;0.00;Sim;2015
505;7;Entrada;Career break;0.00;Não;2015
506;25;Saída;Penapolense;0.00;Não;2015
507;28;Saída;Mogi Mirim;0.00;Sim;2015
508;30;Entrada;Bonner SC U19;0.00;Não;2015
509;24;Saída;São Bernardo;0.00;Sim;2015
510;30;Saída;1.FC Köln II;0.00;Não;2015
511;19;Entrada;IFK Göteborg;0.00;Não;2015
512;30;Entrada;SF Baumberg;0.00;Não;2015
513;17;Entrada;Flamengo U20;0.00;Não;2015
514;10;Entrada;Aparecidense;0.00;Não;2015
515;15;Entrada;Icasa;0.00;Não;2015
516;15;Saída;Aparecidense;0.00;Não;2015
517;20;Entrada;Vila Nova FC;0.00;Sim;2015
518;20;Saída;Vila Nova FC;0.00;Sim;2015
519;13;Entrada;Bragantino;0.00;Não;2015
520;13;Saída;São Bento (SP);0.00;Não;2015
521;29;Saída;Criciúma EC;0.00;Não;2015
522;27;Entrada;Operário-PR;0.00;Não;2015
523;34;Saída;SC Braga;27900000.00;Não;2015
524;12;Saída;Sport Recife;0.00;Não;2015
525;33;Entrada;Corinthians;0.00;Não;2015
526;5;Entrada;Cerâmica;0.00;Não;2015
527;5;Entrada;UR Trabalhadore;0.00;Sim;2015
528;5;Saída;UR Trabalhadore;0.00;Sim;2015
529;3;Entrada;Santa Rita-AL;0.00;Sim;2015
530;19;Saída;Remo;0.00;Não;2015
531;7;Saída;Botafogo U20;0.00;Não;2015
532;24;Entrada;Botafogo U20;0.00;Sim;2015
533;9;Entrada;Al-Ettifaq;0.00;Não;2015
534;9;Saída;Santa Cruz-PE;0.00;Não;2015
535;24;Entrada;Mogi Mirim;0.00;Sim;2015
